#zbin zmean nqsos gimode ugmode grmode rimode izmode
3.57 3.570 168 1.015 2.837 0.914 0.125 0.050
3.58 3.580 187 1.088 2.854 0.947 0.129 0.056
3.59 3.591 186 1.042 2.753 0.910 0.128 0.081
3.60 3.601 208 1.066 2.740 0.964 0.114 0.014
3.61 3.611 206 1.131 2.760 1.014 0.111 0.092
3.62 3.620 177 1.150 2.720 1.013 0.075 0.101
3.63 3.630 203 1.093 2.696 1.024 0.103 0.063
3.64 3.640 197 1.044 2.773 0.991 0.082 0.099
3.65 3.651 178 1.137 2.961 1.030 0.075 0.099
3.66 3.661 195 1.178 2.529 1.057 0.094 0.128
3.67 3.670 193 1.119 2.554 1.026 0.089 0.083
3.68 3.681 171 1.112 2.340 1.045 0.078 0.067
3.69 3.691 211 1.162 2.466 1.101 0.082 0.112
3.70 3.701 181 1.116 2.363 1.054 0.072 0.036
3.71 3.710 156 1.193 2.469 1.126 0.062 0.052
3.72 3.721 179 1.192 2.713 1.117 0.061 0.060
3.73 3.730 188 1.205 2.501 1.105 0.079 0.068
3.74 3.741 171 1.161 2.723 1.098 0.066 0.119
3.75 3.751 164 1.244 2.573 1.131 0.082 0.069
3.77 3.771 457 1.217 2.619 1.164 0.079 0.066
3.79 3.791 167 1.239 2.828 1.191 0.079 0.055
3.80 3.801 169 1.258 2.526 1.249 0.104 0.041
3.82 3.820 401 1.266 2.484 1.209 0.080 0.048
3.85 3.851 388 1.346 2.740 1.248 0.121 0.070
3.88 3.880 352 1.365 2.515 1.243 0.132 0.060
3.91 3.910 296 1.390 2.310 1.263 0.124 0.071
3.94 3.940 262 1.385 2.560 1.296 0.140 0.108
3.97 3.971 227 1.488 2.638 1.360 0.173 0.069
4.00 3.999 222 1.501 2.379 1.333 0.162 0.042
4.03 4.030 196 1.573 2.410 1.409 0.183 0.064
4.06 4.060 195 1.615 2.590 1.420 0.225 0.074
4.09 4.091 158 1.786 2.616 1.529 0.243 0.051
4.13 4.131 232 1.743 2.476 1.533 0.210 0.082
4.18 4.181 172 1.856 2.222 1.640 0.242 0.081
4.23 4.230 153 2.127 1.979 1.728 0.319 0.081
4.28 4.280 154 2.339 1.653 1.939 0.282 0.113
4.34 4.338 182 2.403 1.898 1.999 0.369 0.152
4.42 4.418 158 2.686 1.931 2.130 0.487 0.237
4.52 4.520 168 3.273 1.029 2.285 0.807 0.203
4.63 4.633 152 3.682 0.906 2.181 1.385 0.147
4.75 4.753 167 4.311 0.647 2.319 1.643 0.060
4.91 4.895 158 5.053 0.286 3.109 1.647 0.175
5.16 5.138 156 0.597 0.611 0.167 0.522 0.217
5.54 5.562 155 0.781 0.349 0.289 0.433 0.270
6.09 6.031 150 0.336 0.224 0.323 0.165 0.288
6.71 6.693 154 0.360 0.325 0.303 0.145 0.416
7.02 6.805 34 0.190 -0.092 0.096 0.106 0.228
